root	spect	看
root	vis	看
root	vid	看
root	scop	观察/仪器
root	dict	说
root	log	言语/学科
root	loqu	说
root	voc	声音/喊
root	nounc	讲述
root	verb	词语
root	lingu	语言
root	liter	文字
root	graph	书写
root	gram	书写/描绘
root	scrib	写
root	script	写
root	bibli	书
root	aud	听
root	son	声音
root	phon	声音
root	ton	音调
root	sens	感觉
root	sent	感觉
root	path	感情/疾病
root	pass	感情/通过
root	cord	心
root	cardi	心
root	psych	心理
root	neur	神经
root	man	手
root	ped	足
root	pod	足
root	ocul	眼睛
root	dent	牙齿
root	derm	皮肤
root	corp	身体
root	mot	移动
root	mov	移动
root	mob	移动
root	it	行走
root	grad	步/级
root	gress	行走
root	curs	跑
root	migr	迁移
root	ven	来
root	vent	来/风
root	ced	行走/让与
root	cess	行走/让与
root	vad	行走
root	fug	逃跑
root	duc	引导
root	duct	引导
root	pel	驱动
root	puls	驱动
root	mit	送/派出
root	miss	送/派出
root	port	搬运
root	fer	带来
root	ger	搬运
root	veh	运载
root	vect	运载
root	pos	放置
root	pon	放置
root	thes	放置
root	her	粘附
root	nect	连结
root	junct	连接
root	join	连接
root	apt	适应/连接
root	vert	转
root	vers	转
root	volv	转/滚
root	rot	旋转
root	tort	扭曲
root	tour	转
root	flect	弯曲
root	flex	弯曲
root	tract	拉/拖
root	strain	拉紧
root	strict	拉紧
root	string	捆绑
root	ten	握持
root	tain	保持
root	tin	握持
root	hab	居住/持有
root	struct	建造
root	form	形状
root	morph	形状
root	fig	塑造
root	fac	做
root	fect	做
root	fact	做
root	fic	做
root	creat	创造
root	gener	产生/种类
root	gen	出生/产生
root	nat	出生
root	rupt	破裂
root	fract	破裂
root	frag	破裂
root	clud	关闭
root	clos	关闭
root	clus	关闭
root	cover	覆盖
root	tect	掩盖
root	cid	切/落
root	cis	切
root	sect	切割
root	tom	切割
root	divid	分开
root	divis	分开
root	part	部分
root	phot	光
root	lumin	光
root	luc	光
root	splend	发光
root	clar	清楚
root	ign	火
root	therm	热
root	cry	冷/隐藏
root	geo	地球
root	terr	土地
root	mar	海洋
root	aqu	水
root	hydr	水
root	sol	太阳
root	lun	月亮
root	stell	星
root	aer	空气
root	vac	空
root	flor	花
root	foli	叶
root	arbor	树
root	lith	石头
root	petr	石头
root	bio	生命
root	vit	生命
root	viv	活
root	anim	生命/精神
root	mort	死亡
root	necr	死亡
root	somn	睡眠
root	vigil	清醒
root	memor	记忆
root	cogn	知道
root	sci	知道
root	gnor	不知道
root	not	标记
root	sign	标记
root	soph	智慧
root	phil	爱好
root	math	学习
root	doc	教导
root	disc	学习
root	put	思考/认为
root	cred	相信
root	fid	信任
root	val	价值/强壮
root	vail	价值
root	preci	价值
root	dur	持久
root	firm	坚固
root	vol	意志
root	opt	选择/眼睛
root	pet	寻求
root	quest	寻求
root	quir	寻求
root	spir	呼吸
root	salut	健康
root	sanit	健康
root	medic	治疗
root	tox	毒
root	pest	瘟疫
root	dem	人民
root	popul	人民
root	ethn	民族
root	urb	城市
root	civ	公民/城市
root	polis	城市
root	equ	相等
root	just	正义
root	jur	法律
root	jud	判断
root	judic	判断
root	legis	法律
root	crim	罪行
root	culp	罪责
root	vinc	征服
root	vict	征服
root	pugn	打斗
root	bell	战争
root	milit	士兵
root	arm	武器
root	pac	和平
root	plac	安抚/平静
root	grat	感激
root	graci	优雅
root	lud	玩耍
root	don	给予
root	dot	给予
root	trib	给予/分配
root	mun	公共职责
root	class	等级/类别
root	tempor	时间
root	chron	时间
root	ann	年
root	enni	年
root	noct	夜
root	diurn	日
root	prim	第一
root	ultim	最后
root	fin	界限/结束
root	termin	界限
root	nov	新
root	sen	老的
root	juven	年轻
root	numer	数字
root	calcul	计算
root	rat	计算/理性
root	meas	测量
